# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C18_MP_supertree_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2760	0.0054466230936819175	30.0	5508.0	0.9934711643090316	0.9956379498364231	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D8_MP_supertree_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.015610651974288337	85.0	5445.0	0.9944341372912802	0.9745454545454545	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.011893870082342177	65.0	5465.0	0.994475138121547	0.9818181818181818	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.06094233218118974	335.0	5497.0	0.9395704404805242	0.9385454545454546	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.05816066884769175	320.0	5502.0	0.9414970930232558	0.9421818181818182	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.05925118138858597	326.0	5502.0	0.940406976744186	0.9410909090909091	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.05674790833030193	312.0	5498.0	0.9435953420669578	0.9429090909090909	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.0657439446366782	361.0	5491.0	0.935789857716162	0.9327272727272727	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
