taxon,palgalans,nonlb,water,raptor,cor1,alcedin,pici,par+,psit,psitac,sub1,furn1,furn2,furn3,thm1,thm2,sub2,sub3,tyr1,tyr2,tyr3,tyr4,osc1,osc2,osc3
GRUIFORMES_Gruidae_Grus monacha,,1,,,,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Gruidae_Grus nigricollis,,1,,,,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Gruidae_grus canadensis,,1,,,,,,,,,,,,,,,,,,,,,,,
GRUIFORMES_Aramidae_aramus guarauna,,1,1,,,,,1,,,,,,,,,,,,,,,,,
PODICIPEDIFORMES_Podicipedidae_Podiceps cristatus,,1,1, , ,,,1,,,,,,,,,,,,,,,,,
PODICIPEDIFORMES_Podicipedidae_podiceps auritus,,1,,1,1,,,,,,,,,,,,,,,,,,,,
PHOENICOPTERIFORMES_Phoenicopteridae_Phoenicopterus ruber,,1, ,1, ,,,1,,,,,,,,,,,,,,,,,
PHOENICOPTERIFORMES_Phoenicopteridae_phoenicopterus chilensis,,1, , ,1,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Turnicidae_turnix sylvatica,,1,1, , ,,,1,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Burhinidae_Burhinus oedicnemus,,1,1, , ,,, ,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Burhinidae_burhinus bistriatus2,,,1, , ,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Chionidae_chionis alba,,1,1,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Haematopodidae_haematopus palliatus,,1,1,,,,, ,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Ibidorhynchidae_ibidorhyncha struthersii,,1,1, ,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Recurvirostridae_Himantopus himantopus,,1,1,, ,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Recurvirostridae_recurvirostra americana,,,1,1,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Charadriidae_Charadrius vociferus,,1,1,,,,,,,,,,,,,,,,,,,,,,
CHARADRIIFORMES_Charadriidae_Charadrius alexandrinus,,,1,,1,,,,,,,,,,,,,,,,,,,,
